Feature,Chi2_Score,P_Value
giving,19.57502623999627,0.0002078837814825635
damage,19.557214924673424,0.00020965646254459636
director,19.266428251255164,0.00024081924692236553
dad,19.1394733794164,0.00025583132293036977
amp,19.09298697821352,0.000261558085837017
created,19.023180482754587,0.0002703981392085253
garden,18.89260020554865,0.0002877400862737974
voters,18.881273398205934,0.00028929552405556
watch,18.779837721742368,0.00030360325116300446
drop,18.561650523782916,0.0003368088433387686
confirms,18.438653882706582,0.0003570947675099699
vp,18.39637177385557,0.0003643454232603126
gop,18.346669581179462,0.0003730559228745707
border,18.152933294560867,0.00040903141541559447
walked,18.09547167549247,0.00042035046745383616
woman,18.080699300176974,0.0004233103857082638
job,18.074480878145145,0.0004245625516026581
released,18.046352650379866,0.00043027273189747404
auto,17.908569400770915,0.0004593658765173732
agents,17.843011305240395,0.0004738872492404202
stone,17.77523472401352,0.0004893799612011756
reason,17.754314246771752,0.0004942630147605926
kavanaugh,17.731709898708903,0.0004995935602231171
weak,17.529971475194547,0.0005497711056736085
thank,17.442649058608286,0.0005730151293898623
putin,17.441689450149138,0.0005732759160999654
rt,17.41561395135277,0.0005804076259951071
better,17.14510351268226,0.000659800189767822
getting,17.040434415150564,0.0006933376930631666
room,17.021428734208534,0.0006996066362849466
safe,16.997046117038813,0.0007077316891184552
called,16.908164951199694,0.0007381515984385781
admin,16.89876607163538,0.0007414433987276114
internal,16.719569219814716,0.0008070695040896054
hates,16.7130273696691,0.0008095714783046515
senate,16.63212735481007,0.0008411565461130832
2024,16.552368763397872,0.0008734938996532306
nicksortor,16.445592551859487,0.0009187263522860125
wrong,16.438443647247656,0.0009218365533479306
weather,16.262116123926305,0.0010019485431456252
protect,16.206576359776204,0.0010285864555584165
madison,16.173376246943494,0.0010448445034354076
ends,16.16808156266124,0.0010474607934122962
war,16.031721324401193,0.0011171288328743062
friends,15.980187545889681,0.0011446397115857916
announced,15.960560562949762,0.0011552934004587668
shit,15.907458333989016,0.0011846138259305101
nevada,15.86813451408496,0.0012068015382573135
said,15.86343531833781,0.0012094804169627878
nation,15.812056744003366,0.001239157850085236
amuse,15.804043727970345,0.001243851070922482
es,15.644984141183713,0.0013407509295876522
leading,15.615736325158668,0.0013593675893174906
case,15.614665632490869,0.001360053947599653
fake,15.609313126535806,0.0013634902869195207
fbi,15.591198110953737,0.0013751842968258749
happening,15.52148614832352,0.001421122437504081
dems,15.51578263563276,0.0014249476072735554
business,15.471590634102439,0.0014549342243895152
victims,15.242890401730158,0.0016204180817863717
alive,15.161056290673468,0.0016840615777706184
il,15.142140954507632,0.0016991216453040826
asks,15.142140954507632,0.0016991216453040826
years,15.13444550166038,0.0017052868049637672
chief,15.093273887499917,0.00173865013106508
report,15.008958647951314,0.0018090091659137683
decision,14.945431188313101,0.0018638805581777827
posted,14.855905763962674,0.0019440209589553178
share,14.823933089069518,0.0019734625468792785
debate,14.810028902845524,0.0019864036027921095
helping,14.752229910519326,0.002041107173146317
laken,14.678006707273209,0.0021135517227932462
migrant,14.670731802722683,0.00212078805499873
100k,14.63122304733427,0.0021605185022186505
jobs,14.619200179631504,0.002172754670035696
shared,14.574846495073906,0.00221849256945526
colbert,14.566304648755903,0.0022274100089616873
30,14.555670520283948,0.002238561412801767
million,14.492059681449875,0.002306431866869334
https,14.49025106477554,0.0023083911342494418
numbers,14.417735563149733,0.002388321253411193
guard,14.373572868202569,0.0024383376381041425
page,14.299202828337462,0.0025249225647090497
walz,14.21606473220351,0.0026253274302738073
criminal,14.183290133349836,0.00266598768209595
los,14.107147321741294,0.002762875902265109
soon,14.075253192725459,0.002804489328413942
les,14.04880918340396,0.002839462322842884
se,14.04880918340396,0.002839462322842884
learned,14.028689383131397,0.002866360560591089
finally,14.028689383131397,0.002866360560591089
man,14.002189409200824,0.0029021741279780127
guys,13.992276382142508,0.0029156848116637353
promises,13.881310481468816,0.003071242765294983
deleted,13.876272248157358,0.003078497524622159
tape,13.67643290037048,0.0033803638828034392
fox,13.652738967989004,0.0034180447135148174
mtgrepp,13.65055126077176,0.0034215447672150496
detroit,13.594346783232275,0.0035126919966262846
wo,13.550467734949985,0.003585518975887541
politics,13.504321179847997,0.0036637228380969737
arizona,13.453914388713597,0.003751077550803585
voted,13.351253731011267,0.003935415403857119
changed,13.314918846462453,0.004002784595665102
wife,13.273231298345353,0.00408148562153692
dangerous,13.20697094064685,0.0042097407715593555
ronfilipkowski,13.134087050185327,0.004355427312525918
happened,13.126952596609675,0.0043699536384441745
way,13.112407058396322,0.004399718235578588
laptop,13.086552972588054,0.004453119664904441
tells,13.059081834336093,0.004510564099481615
saying,13.025856284258559,0.004581022078293082
presidential,12.986267062642302,0.004666398015345176
tim,12.981538806917499,0.0046766993865924615
ago,12.81160123089671,0.005062259048295318
kremlin,12.809470557767412,0.0050672875434519425
milton,12.802468873486044,0.005083846692648431
fraud,12.712065060483152,0.005302522763135898
mitchellvii,12.703295650947714,0.00532422358200729
jackposobiec,12.615014903780274,0.005547635972007263
leaders,12.573114761162048,0.005656892835682437
omg,12.572824923307277,0.005657655965455916
phoenix,12.537864519242957,0.005750455752130707
covid,12.493675624784078,0.005869908024608524
taylor,12.488884960225544,0.0058830047385091625
thought,12.456343623660452,0.005972734065267058
think,12.368683446357236,0.00622123506849526
stephen,12.365611760135677,0.0062301256412963585
house,12.343920334834527,0.006293266986277913
person,12.331369122114527,0.0063300906474589805
young,12.31572689939679,0.006376281170751424
obama,12.308991106740233,0.006396274024747227
high,12.223771029710115,0.006654634864852087
post,12.134322140602723,0.006936911744017183
fema,12.11497964462366,0.006999490095096847
boloudon,12.113158169019215,0.00700541173258643
beat,12.077198461005562,0.007123335841398084
mother,11.986905270003932,0.0074281523933495365
realtrumpnewsx,11.98050797213132,0.007450231095804062
immeme0,11.974749906361946,0.007470159070401661
defense,11.969369896141929,0.007488826217043656
convicted,11.955772826325408,0.0075362099191193235
attack,11.886396893661857,0.007782623177202549
decline,11.858334180740238,0.007884543283128735
thoughts,11.850590108408042,0.007912900060241089
video,11.720413166512458,0.008404930647610262
following,11.681546299158704,0.008557606680945457
article,11.613824970091816,0.008830196475155842
election,11.525841966288604,0.009197177570697837
sh,11.48620680928968,0.009367376828302744
trumpdailyposts,11.464917165094741,0.009460076992709574
businesses,11.422279205801779,0.00964846303755779
tell,11.38615378682903,0.009810967900156536
cargo,11.38466946179657,0.00981770235945706
lol,11.36560732607463,0.009904594679312753
joe,11.343109295491804,0.010008125618790435
days,11.330769486623904,0.010065363277867518
rant,11.30646565333554,0.010179041464946255
attorney,11.29395007282771,0.010238074606849296
charged,11.29395007282771,0.010238074606849296
losing,11.275372554628412,0.010326323695436025
brought,11.234280835133617,0.010524196196620206
5th,11.222712717358716,0.01058057254917869
victorshi2020,11.168517585053241,0.010848679574373072
friend,11.160501262332838,0.010888901503754107
carolina,11.147562346361557,0.010954132991129878
des,11.121581325738925,0.011086282015567337
mmpadellan,11.057527739361163,0.011418833935567968
economy,11.019127244283435,0.011622895670494297
looking,10.9954095060376,0.011750724030959838
daughter,10.929402575291848,0.012113812344666951
destroys,10.910675362689988,0.012218824663934064
team,10.905533648433284,0.012247813311068187
bullshit,10.832532421448242,0.01266677529043903
state,10.8262089419588,0.012703724059197976
turn,10.810440487356612,0.012796324008320923
officially,10.742706227936447,0.013201713372539512
freedom,10.710893864276581,0.01339645094299929
gangs,10.70695567232984,0.013420754311325077
host,10.686941521248364,0.013544938349264185
newsmax,10.6683659073989,0.013661208803005682
elon,10.666684650419677,0.013671780685675207
trying,10.645985589323212,0.01380260017052152
victory,10.622519867053768,0.013952396386153018
based,10.603633638654564,0.014074120582567684
takes,10.462627108598843,0.015016573964501581
nearly,10.424672985453116,0.015280687463848301
jail,10.39227085714872,0.015509779463795777
pushing,10.332332827757302,0.01594250084497811
maga,10.309926086096985,0.016107297886263798
44,10.270430672370082,0.016401868866287698
got,10.24672473580366,0.016581214553678773
democrat,10.238154019360813,0.016646529369518246
acyn,10.228698074260064,0.01671888388267681
signs,10.20144407463814,0.016929159626519173
night,10.197533626236998,0.016959542932076403
realdonaldtrump,10.17404513440636,0.01714317497451959
abortion,10.170194899445997,0.017173461907299462
involved,10.164300276788893,0.01721993249206775
diaper,10.164300276788893,0.01721993249206775
sending,10.1366450017991,0.017439610608485867
donwinslow,10.110953842004687,0.017646154709922764
square,10.065221027641785,0.018019791431646934
johnson,9.973894068133854,0.018789353908936664
polls,9.960204083157635,0.018907462040091073
dollars,9.909057695824457,0.019355208892441248
government,9.893201732725878,0.019496119265145256
stranded,9.892895763689939,0.019498848270441592
gets,9.874419209707385,0.01966434222993781
term,9.8206610718938,0.020153740324305378
say,9.819917949783552,0.020160588637661216
cut,9.810549739388323,0.020247118575238594
tonight,9.79367867195225,0.020403869987586743
speaking,9.777143400033257,0.02055865785136457
water,9.767435665555965,0.02065006933182122
week,9.762982829771726,0.020692132244916162
start,9.727276495194506,0.02103248216364433
democratic,9.72047887213296,0.021097896635832992
inflation,9.675179504554967,0.021538948729934906
spent,9.62959471519733,0.021991914626878162
daddy,9.62940168113234,0.021993852506897494
stealing,9.627552532339294,0.02201242471319298
tried,9.618253160640974,0.022106057990785324
father,9.60284073454908,0.022262103836318006
governor,9.515698424445107,0.023164940659898645
agree,9.50029678554575,0.02332820334060084
jdvance,9.496597390313518,0.023367586048286027
reading,9.470604976962019,0.02364613905993519
musk,9.435862689848822,0.024023554158542154
scaramucci,9.380279751398547,0.02463968933682116
possible,9.307471721245783,0.025470256221548956
easy,9.293754282567303,0.02562978428233848
seeing,9.279350479571477,0.025798348734342468
event,9.213234055069263,0.026586140878182746
judge,9.212784689298323,0.026591575023466704
sick,9.207645145217532,0.0266538046045748
mjfree,9.177518244378607,0.027021461473878454
thinks,9.153103352819329,0.027323052619862138
intelligence,9.150970482603608,0.027349555546057773
shame,9.047380680537138,0.028667522457718225
et,8.992655198407784,0.029388699232166877
milley,8.949948817512592,0.02996379927985759
matter,8.945616802306619,0.030022747604988097
james,8.938497699901887,0.030119868157314492
violent,8.933234829034653,0.030191863184649986
day,8.902577871973921,0.03061460484694809
felon,8.857754010449911,0.03124314534870462
department,8.831316970640735,0.0316197592379719
lives,8.828537286720843,0.03165961487482324
est,8.813373133070625,0.03187790835019207
fine,8.788534918236088,0.03223864856320651
fucking,8.788094244780268,0.03224508464405554
use,8.755682014554345,0.03272193029387917
according,8.700456475533006,0.033550336645165914
come,8.686837579826616,0.033757757361903416
attempts,8.65731680345376,0.034211683042611116
morning,8.623941625886205,0.034732063941083045
opening,8.605573916230524,0.03502174285044866
play,8.60528499890624,0.035026318204019004
covering,8.604117864506394,0.035044807129316354
continues,8.573086071803493,0.03553990405686003
dictator,8.57043338373506,0.035582542102808326
hitting,8.57043338373506,0.035582542102808326
landslide,8.566906443465474,0.03563930987998036
chance,8.549548736584578,0.03591998237095497
perfect,8.539743331475117,0.03607948823768233
2020,8.53811858625193,0.036105984938148615
supplies,8.535641794067176,0.03614641359088171
workers,8.52715326643376,0.036285307541839965
north,8.482842560777412,0.037018850711300295
shows,8.48096197844162,0.037050301199152466
biggest,8.44802829450235,0.03760532655376996
