Date,Tweet
Oct-09,week alone learned trump sent covid testing machines putin 7 illicit conversations murderous dictator god bless usa bibles made china
Oct-08,trump lying fema middle deadly hurricane disqualify frankly warrants criminal investigation
Oct-08,trump lost 2020 election vp harris told stephen colbert know lose millions jobs lose auto plants lost election make loser
Oct-08,reach 75 hate fucking trump platform elonmusk evil turned twitter maga machine
Oct-10,president biden told donald trump get life
Oct-09,donald trump radical domestic terrorist going prison
Oct-11,guarantee next fox interview trump lie claim harris used teleprompter univision town hall whoever interview correct
Oct-09,kamala harris deserves chance prove lead america already know trump offer chaos lies division
Oct-09,breaking news cnn reporting sources confirmed trump gave putin egg mcmuffin medium coffee sources said trump americans need
Oct-09,get new power control weather got covid voted kamala told another maga tool go fuck
Oct-06,reince priebus abc saying trump threat democracy democratic talking fact 6 happened
Oct-10,judge tanya chutkan allow special counsel jack smith filings trump election conspiracy case become public
Oct-05,sorry stop thinking fact trump told secretary defense worry bombing mexico know us
Oct-10,fact trump added trillion national 4 years president history gets back find happens defaults
Oct-11,40 minutes trump remarks aurora seeing folks front section start trickle exits
Oct-11,today moment race suddenly shifted harris listened feedback knows must believe going work trump lose
Oct-10,tornado formed result hurricane milton destroyed building lucie florida county sheriff office days maga sheriff appointed eric trump
Oct-11,trump stephen miller 1934 nuremberg rally aurora colorado today
Oct-10,nervous fuck
Oct-08,trump would give putin covid tests hard believe gave classified secrets well
Oct-06,crazy governor walz allowed minneapolis burn today saw hundreds harris walz signs zero trump signs minneapolis seems adore governor
Oct-06,sad truth maga would still support trump even video surfaced orange god epstein assaulting far gone maga cult
Oct-07,donald trump serial rapist expects women believe keep us safe fucking hate trump
Oct-06,updated alphabetized proofread list celebrity trump supporters sure support work whenever missing openly endorsed jason aldean tim
Oct-05,thinks trump mentally deranged idiot
Oct-07,trump inherited roaring economy within 4 years lost 5 million jobs added 9 trillion deficit lost senate white house killed americans want 4 years
Oct-11,someone like trump presidency embarrassment country thinks ohioans eating pets
Oct-05,saying hate donald trump
Oct-10,witnessing economy 4 short years biden reversed economic damage done trump gop
Oct-09,constitution basically written avoid donald trump
Oct-04,economy booming inflation real wages oil production highest ever exactly people hoping accomplish bringing back trump
Oct-04,sorry say enough really fucking hate donald trump
Oct-11,time weekend small account follow back party
Oct-10,good god sinister monstrosity trump republican maga fascists must stopped
Oct-11,elon musk turned twitter 44 billion donation trump campaign
Oct-08,harris stealing trainloads republican voters trump trump taking democrat voters harris
Oct-08,donald trump real shadow government telling republicans negotiating putin bibi
Oct-11,case know trump refers obama barack hussein obama racist trying use middle name scare people
Oct-08,elected trump promises kick antisemites america news jews running current administration
Oct-05,donald trump release medical records unacceptable
Oct-06,believe gop wants trump think
Oct-07,voting donald trump piece shit
Oct-10,florida recovers hurricane milton america going see truly effective leader ron desantis
Oct-07,hurricane milton category still voting trump come hell high water voting
Oct-08,donald trump killed million americans mishandling find gave covid tests genocidal war criminal going back
Oct-09,donald trump wants finish ruining america let vote blue
Oct-07,blocked many assholes telling politics break marriage donald trump politics test nation
Oct-05,trump winning like polling internal polls supposedly suggest
Oct-04,trump wants war iran kamala wants borders stay open pushed lockdowns vaccines
Oct-06,1st trump lied told u fear haitians springfield oh tells u brown black folks blame problems face
Oct-05,leave hate donald trump comment tweets retweet many
Oct-09,nation 248 years old real question america ever produced worse person donald trump know name serial killers mass murderers sure racist insurrectionist cretin inches away white house discuss
Oct-11,white women elected trump black men obama got smoke anybody mama ppl bet wont talk like tho
Oct-10,fundamental change presidential race since debate remains basically 3 point national harris lead swing states thus moving significant way within point two national number
Oct-07,spoke uber driver detroit michigan told voting kamala harris originally gambia registered independent said saw bad dictators africa warns trump wants amazing
Oct-11,foreign enemy attacks america much donald trump
Oct-08,got phone call today company political poll swing state asked political affiliation said conservative next asked voting said trump responded voting anyone got said voting trump
Oct-09,done said offended insulted hurt folks deserve one unforgivable thing disqualifies donald trump serving president forced coaxed manipulated intimidated tens millions become liars say election
